id,naslov,avtor,ocene,povprecje,stevilo_glasujocih,tocke
2429135,The Girl with the Dragon Tattoo,Stieg Larsson,"2,035,151",4.12,"3,289","293,192"
14891,A Tree Grows in Brooklyn,Betty  Smith,"317,306",4.24,"3,206","291,301"
11486,The Color Purple,Alice Walker,"413,479",4.17,"3,270","286,671"
39988,Matilda,Roald Dahl,"475,634",4.29,"3,131","279,242"
252577,Angela's Ashes,Frank McCourt,"438,328",4.08,"3,096","277,567"
6288,The Road,Cormac McCarthy,"577,557",3.95,"3,021","275,627"
1934,Little Women,Louisa May Alcott,"1,356,493",4.04,"3,193","275,489"
34,The Fellowship of the Ring,J.R.R. Tolkien,"1,907,282",4.34,"3,084","271,426"
227463,A Clockwork Orange,Anthony Burgess,"475,019",3.98,"3,026","268,115"
4934,The Brothers Karamazov,Fyodor Dostoyevsky,"184,738",4.31,"2,961","267,039"
18660669,Vampire Academy,Richelle Mead,"467,628",4.14,"2,783","259,078"
7244,The Poisonwood Bible,Barbara Kingsolver,"575,171",4.03,"2,807","255,871"
52036,Siddhartha,Hermann Hesse,"439,054",3.99,"2,707","241,498"
662,Atlas Shrugged,Ayn Rand,"306,485",3.68,"2,576","234,618"
3836,Don Quixote,Miguel de Cervantes Saavedra,"164,601",3.86,"2,590","226,506"
17470674,Fahrenheit 451,Ray Bradbury,"1,226,818",3.98,"2,359","220,543"
119322,The Golden Compass,Philip Pullman,"1,037,710",3.95,"2,462","218,775"
15931,The Notebook,Nicholas Sparks,"1,099,423",4.07,"2,371","209,924"
2165,The Old Man and the Sea,Ernest Hemingway,"606,850",3.74,"2,391","205,379"
2619,Great Expectations,Charles Dickens,"528,492",3.75,"2,349","201,997"
136251,Harry Potter and the Deathly Hallows,J.K. Rowling,"1,933,054",4.62,"2,171","196,776"
4473,A Prayer for Owen Meany,John Irving,"252,277",4.22,"2,148","195,157"
23919,The Complete Stories and Poems,Edgar Allan Poe,"164,199",4.37,"2,238","192,232"
153747,"Moby-Dick or, The Whale",Herman Melville,"410,727",3.47,"2,197","189,481"
99107,Winnie-the-Pooh,A.A. Milne,"220,850",4.34,"2,228","188,045"
43763,Interview with the Vampire,Anne Rice,"407,689",3.98,"2,141","186,228"
124509,Smilla's Sense of Snow,Peter Høeg,"33,248",3.73,97,"6,419"
45195,A Passage to India,E.M. Forster,"55,374",3.67,116,"6,419"
17788401,Ugly Love,Colleen Hoover,"123,240",4.30,73,"6,404"
242006,Running with Scissors,Augusten Burroughs,"312,951",3.70,89,"6,395"
13139,School's Out—Forever,James Patterson,"101,179",4.16,90,"6,356"
15783514,The Ocean at the End of the Lane,Neil Gaiman,"356,624",3.99,76,"6,350"
30043,A River Runs Through It and Other Stories,Norman Maclean,"18,661",4.17,89,"6,329"
15749186,To All the Boys I've Loved Before,Jenny Han,"167,313",4.11,70,"6,320"
1240662,Lover Enshrined,J.R. Ward,"95,193",4.12,84,"6,294"
38296,The Last of the Mohicans,James Fenimore Cooper,"76,794",3.70,102,"6,283"
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"34,885",4.30,75,"6,279"
12557,The Kitchen God's Wife,Amy Tan,"63,935",3.99,106,"6,272"
33676,Saving the World and Other Extreme Sports,James Patterson,"81,675",4.16,91,"6,259"
2355575,Cry Wolf,Patricia Briggs,"73,199",4.12,85,"6,256"
